question,query_type
"What datasets are available?",list_datasets
"Show me all datasets",list_datasets
"List all available datasets",list_datasets
"Give me all the datasets",list_datasets
"I want to see all datasets",list_datasets
"Display all datasets",list_datasets
"¿Qué conjuntos de datos hay?",list_datasets
"Muéstrame todos los conjuntos de datos",list_datasets
"Listar todos los datasets",list_datasets
"Quiero ver todos los datasets",list_datasets
"Enseña todos los datasets",list_datasets
"Dame la lista de datasets",list_datasets
"Show datasets about health",search_datasets
"Find datasets related to education",search_datasets
"Search for environment datasets",search_datasets
"Datasets about transport",search_datasets
"I need data on economy",search_datasets
"Look for climate change datasets",search_datasets
"Search datasets with keyword pollution",search_datasets
"Muéstrame datasets sobre salud",search_datasets
"Buscar datasets de educación",search_datasets
"Quiero datos de medio ambiente",search_datasets
"Datos sobre transporte",search_datasets
"Necesito datos de economía",search_datasets
"Busca datasets de cambio climático",search_datasets
"Datasets con palabra clave contaminación",search_datasets
"Datasets in CSV format",get_distribution
"Show me JSON datasets",get_distribution
"Which datasets are available in Excel?",get_distribution
"I need data in XML format",get_distribution
"Give me datasets in RDF format",get_distribution
"What formats are available?",get_distribution
"List all available formats",get_distribution
"¿Qué datasets hay en formato CSV?",get_distribution
"Muéstrame datasets en JSON",get_distribution
"¿Qué datasets están en Excel?",get_distribution
"Necesito datos en XML",get_distribution
"Quiero datasets en RDF",get_distribution
"¿Qué formatos existen?",get_distribution
"Listar todos los formatos disponibles",get_distribution
"Tell me about the dataset transportation",get_metadata
"What is the description of health dataset?",get_metadata
"When was this dataset created?",get_metadata
"Who published the education dataset?",get_metadata
"Show metadata for climate dataset",get_metadata
"Describe the economy dataset",get_metadata
"What are the properties of this dataset?",get_metadata
"Háblame del dataset de transporte",get_metadata
"¿Cuál es la descripción del dataset de salud?",get_metadata
"¿Cuándo se creó este dataset?",get_metadata
"¿Quién publicó el dataset de educación?",get_metadata
"Mostrar metadatos del dataset de clima",get_metadata
"Describe el dataset de economía",get_metadata
"¿Qué propiedades tiene este dataset?",get_metadata
"Datasets created after 2020",filter_datasets
"Show recent datasets",filter_datasets
"Datasets from last year",filter_datasets
"Give me datasets before 2015",filter_datasets
"Data updated in 2023",filter_datasets
